ROWID,UNITID,OPEID,opeid6,INSTNM,CITY,STABBR,INSTURL
1,100654,100200,1002,Alabama A & M University,Normal,AL,http://www.sports-logos-screensavers.com/user/Alabama_AM_Bulldogs01.jpg
2,100663,105200,1052,University of Alabama at Birmingham,Birmingham,AL,http://www.recruit757.com/wp-content/uploads/2014/12/UAB-Logo.gif
3,100690,2503400,25034,Amridge University,Montgomery,AL,https://upload.wikimedia.org/wikipedia/en/1/11/Amridge_University_seal.png
4,100706,105500,1055,University of Alabama in Huntsville,Huntsville,AL,https://upload.wikimedia.org/wikipedia/commons/5/59/UAHuntsville_logo.png
5,100724,100500,1005,Alabama State University,Montgomery,AL,http://1.bp.blogspot.com/_aXwvjOCyM24/Sb2PMargUlI/AAAAAAAAMBw/IqGUk1ShXgs/s320/asu-logo.gif
6,100751,105100,1051,The University of Alabama,Tuscaloosa,AL,http://visualid.ua.edu/download/A_Square_Logo_4c.jpg
7,100760,100700,1007,Central Alabama Community College,Alexander City,AL,http://static.wixstatic.com/media/004d1d_c8bfe327cbd84b758ff78d8dc6c24573.gif
8,100812,100800,1008,Athens State University,Athens,AL,http://www.athens.edu/wp-content/uploads/2015/03/ASU_MASTERLOGO_BLU_V_3.png
9,100830,831000,8310,Auburn University at Montgomery,Montgomery,AL,http://cdn-payscale.com/content/school_logos/Auburn%20University%20-%20Montgomery_200px.jpg
10,100858,100900,1009,Auburn University,Auburn University,AL,http://cdn-payscale.com/content/school_logos/Auburn%20University%20-%20Montgomery_200px.jpg
11,100937,101200,1012,Birmingham Southern College,Birmingham,AL,http://bookstore.bsc.edu/outerweb/product_images/10178645l.jpg
12,101028,1218200,12182,Chattahoochee Valley Community College,Phenix City,AL,http://www.meridys.com/images/stories/logos/cvcclogo.png
13,101073,1055400,10554,Concordia College Alabama,Selma,AL,http://www.collegeatlas.org/wp-content/uploads/2014/04/concordia-college-selma.jpg
14,101116,1303906,13039,South University-Montgomery,Montgomery,AL,http://open-site.org/img/logos/101116.jpg
15,101143,101500,1015,Enterprise State Community College,Enterprise,AL,http://www.brandsoftheworld.com/sites/default/files/styles/logo-thumbnail/public/082014/enterprise_state_community_college.jpg?itok=QxPCPadw
16,101161,106000,1060,James H Faulkner State Community College,Bay Minette,AL,https://media.licdn.com/mpr/mpr/shrink_200_200/p/4/005/09c/0e9/0dec2e2.png
17,101189,100300,1003,Faulkner University,Montgomery,AL,http://www.brandsoftheworld.com/sites/default/files/styles/logo-thumbnail/public/0013/2470/brand.gif?itok=fJUCDuj9
18,101240,101700,1017,Gadsden State Community College,Gadsden,AL,http://www.weisradio.com/wp-content/uploads/2013/05/GSCC-Logo.jpg
19,101277,4187200,41872,New Beginning College of Cosmetology,Albertville,AL,https://s2.graphiq.com/sites/default/files/10/media/images/t2/New_Beginning_College_of_Cosmetology_1384436.png
20,101286,101800,1018,George C Wallace State Community College-Dothan,Dothan,AL,http://www.wallace.edu/images/ftr_logo.jpg
21,101295,787100,7871,George C Wallace State Community College-Hanceville,Hanceville,AL,http://www.sports-logos-screensavers.com/user/Alabama_AM_Bulldogs01.jpg
22,101301,569900,5699,George C Wallace State Community College-Selma,Selma,AL,http://www.recruit757.com/wp-content/uploads/2014/12/UAB-Logo.gif
23,101365,962107,9621,Herzing University-Birmingham,Birmingham,AL,https://upload.wikimedia.org/wikipedia/en/1/11/Amridge_University_seal.png
24,101435,101900,1019,Huntingdon College,Montgomery,AL,https://upload.wikimedia.org/wikipedia/commons/5/59/UAHuntsville_logo.png
25,101453,2199700,21997,Heritage Christian University,Florence,AL,http://1.bp.blogspot.com/_aXwvjOCyM24/Sb2PMargUlI/AAAAAAAAMBw/IqGUk1ShXgs/s320/asu-logo.gif
26,101462,526000,5260,J F Drake State Community and Technical College,Huntsville,AL,http://visualid.ua.edu/download/A_Square_Logo_4c.jpg
27,101480,102000,1020,Jacksonville State University,Jacksonville,AL,http://static.wixstatic.com/media/004d1d_c8bfe327cbd84b758ff78d8dc6c24573.gif
28,101499,102100,1021,Jefferson Davis Community College,Brewton,AL,http://www.athens.edu/wp-content/uploads/2015/03/ASU_MASTERLOGO_BLU_V_3.png
29,101505,102200,1022,Jefferson State Community College,Birmingham,AL,http://cdn-payscale.com/content/school_logos/Auburn%20University%20-%20Montgomery_200px.jpg
30,101514,101300,1013,John C Calhoun State Community College,Tanner,AL,http://cdn-payscale.com/content/school_logos/Auburn%20University%20-%20Montgomery_200px.jpg
31,101541,102300,1023,Judson College,Marion,AL,http://bookstore.bsc.edu/outerweb/product_images/10178645l.jpg
32,101569,105900,1059,Lawson State Community College-Birmingham Campus,Birmingham,AL,http://www.meridys.com/images/stories/logos/cvcclogo.png
33,101587,102400,1024,University of West Alabama,Livingston,AL,http://www.collegeatlas.org/wp-content/uploads/2014/04/concordia-college-selma.jpg
34,101602,898800,8988,Lurleen B Wallace Community College,Andalusia,AL,http://open-site.org/img/logos/101116.jpg
35,101648,102600,1026,Marion Military Institute,Marion,AL,http://www.brandsoftheworld.com/sites/default/files/styles/logo-thumbnail/public/082014/enterprise_state_community_college.jpg?itok=QxPCPadw
36,101675,102800,1028,Miles College,Fairfield,AL,https://media.licdn.com/mpr/mpr/shrink_200_200/p/4/005/09c/0e9/0dec2e2.png
37,101693,102900,1029,University of Mobile,Mobile,AL,http://www.brandsoftheworld.com/sites/default/files/styles/logo-thumbnail/public/0013/2470/brand.gif?itok=fJUCDuj10
38,101709,100400,1004,University of Montevallo,Montevallo,AL,http://www.weisradio.com/wp-content/uploads/2013/05/GSCC-Logo.jpg
39,101736,569700,5697,Northwest-Shoals Community College,Muscle Shoals,AL,https://s2.graphiq.com/sites/default/files/10/media/images/t2/New_Beginning_College_of_Cosmetology_1384436.png
40,101879,101600,1016,University of North Alabama,Florence,AL,http://www.wallace.edu/images/ftr_logo.jpg
41,101897,103100,1031,Northeast Alabama Community College,Rainsville,AL,http://www.sports-logos-screensavers.com/user/Alabama_AM_Bulldogs01.jpg
42,101912,103300,1033,Oakwood University,Huntsville,AL,http://www.recruit757.com/wp-content/uploads/2014/12/UAB-Logo.gif
43,101949,103400,1034,Alabama Southern Community College,Monroeville,AL,https://upload.wikimedia.org/wikipedia/en/1/11/Amridge_University_seal.png
44,101958,2296000,22960,Prince Institute-Southeast,Montgomery,AL,https://upload.wikimedia.org/wikipedia/commons/5/59/UAHuntsville_logo.png
45,101994,569200,5692,Reid State Technical College,Evergreen,AL,http://1.bp.blogspot.com/_aXwvjOCyM24/Sb2PMargUlI/AAAAAAAAMBw/IqGUk1ShXgs/s320/asu-logo.gif
46,102030,103000,1030,Bishop State Community College,Mobile,AL,http://visualid.ua.edu/download/A_Square_Logo_4c.jpg
47,102049,103600,1036,Samford University,Birmingham,AL,http://static.wixstatic.com/media/004d1d_c8bfe327cbd84b758ff78d8dc6c24573.gif
48,102058,4067300,40673,Selma University,Selma,AL,http://www.athens.edu/wp-content/uploads/2015/03/ASU_MASTERLOGO_BLU_V_3.png
